imageFile,corrAns,sameOrDiff,ori,thisN,thisTrialN,thisRepN,keyResp.keys,keyResp.rt,keyResp.duration,trials_faceRecognition.thisRepN,trials_faceRecognition.thisTrialN,trials_faceRecognition.thisN,trials_faceRecognition.thisIndex,thisRow.t,notes,instructions.started,text.started,key_space.started,instructions.stopped,key_space.keys,key_space.rt,key_space.duration,trial.started,same_text.started,different_text.started,image.started,keyResp.started,arrow_left.started,arrow_right.started,trial.stopped,trials_faceRecognition.keyResp.keys,trials_faceRecognition.keyResp.rt,trials_faceRecognition.keyResp.duration,feedback.started,textCorr.started,same_text_cont.started,different_text_cont.started,image_cont.started,arrow_left_cont.started,arrow_right_cont.started,feedback.stopped,textCorr.stopped,same_text_cont.stopped,different_text_cont.stopped,image_cont.stopped,arrow_left_cont.stopped,arrow_right_cont.stopped,Participant ID,Age,Gender,session,date,expName,psychopyVersion,frameRate,expStart,
same/102_C2_DV.jpg,left,same,0,9,9,0,right,0.1402644999907352,None,0,9,9,9,8.894597799982876,,,,,,,,,8.887099899991881,8.894597799982876,8.894597799982876,8.894597799982876,8.894597799982876,8.894597799982876,8.894597799982876,9.038388999993913,right,0.1402644999907352,None,9.051273100019898,9.058863700018264,9.058863700018264,9.058863700018264,9.058863700018264,9.058863700018264,9.058863700018264,9.254627100017387,,,,,,,857342,42134123412,adadasda,001,2024-12-31_14h48.19.011,glasgowFaceRecognition-Yagmur,2024.2.4,60.09467314137715,2024-12-31 14h48.31.752190 +0300,
same/108_DV_C2.jpg,left,same,0,10,10,0,right,0.14166250004200265,None,0,10,10,10,9.340463900007308,,,,,,,,,9.333517999970354,9.340463900007308,9.340463900007308,9.340463900007308,9.340463900007308,9.340463900007308,9.340463900007308,9.488770099997055,right,0.14166250004200265,None,9.498973699985072,9.506956299999729,9.506956299999729,9.506956299999729,9.506956299999729,9.506956299999729,9.506956299999729,9.704483599984087,,,,,,,857342,42134123412,adadasda,001,2024-12-31_14h48.19.011,glasgowFaceRecognition-Yagmur,2024.2.4,60.09467314137715,2024-12-31 14h48.31.752190 +0300,
same/115_C2_DV.jpg,left,same,0,11,11,0,right,0.067955200036522,None,0,11,11,11,9.81479129998479,,,,,,,,,9.807057099998929,9.81479129998479,9.81479129998479,9.81479129998479,9.81479129998479,9.81479129998479,9.81479129998479,9.888317000004463,right,0.067955200036522,None,9.898606700007804,9.906830499996431,9.906830499996431,9.906830499996431,9.906830499996431,9.906830499996431,9.906830499996431,10.104216300009284,,,,,,,857342,42134123412,adadasda,001,2024-12-31_14h48.19.011,glasgowFaceRecognition-Yagmur,2024.2.4,60.09467314137715,2024-12-31 14h48.31.752190 +0300,
same/120_DV_C2.jpg,left,same,0,12,12,0,right,0.1409171000123024,None,0,12,12,12,10.182046499976423,,,,,,,,,10.17496969999047,10.182046499976423,10.182046499976423,10.182046499976423,10.182046499976423,10.182046499976423,10.182046499976423,10.338180100021418,right,0.1409171000123024,None,10.348034299968276,10.356625200016424,10.356625200016424,10.356625200016424,10.356625200016424,10.356625200016424,10.356625200016424,10.554673200007528,,,,,,,857342,42134123412,adadasda,001,2024-12-31_14h48.19.011,glasgowFaceRecognition-Yagmur,2024.2.4,60.09467314137715,2024-12-31 14h48.31.752190 +0300,
same/129_C2_DV.jpg,left,same,0,13,13,0,right,0.11331779998727143,None,0,13,13,13,10.665585100010503,,,,,,,,,10.657562999986112,10.665585100010503,10.665585100010503,10.665585100010503,10.665585100010503,10.665585100010503,10.665585100010503,10.788490000006277,right,0.11331779998727143,None,10.799016700009815,10.806675500003621,10.806675500003621,10.806675500003621,10.806675500003621,10.806675500003621,10.806675500003621,11.004331799980719,,,,,,,857342,42134123412,adadasda,001,2024-12-31_14h48.19.011,glasgowFaceRecognition-Yagmur,2024.2.4,60.09467314137715,2024-12-31 14h48.31.752190 +0300,
same/136_C2_DV.jpg,left,same,0,14,14,0,right,0.07174840004881844,None,0,14,14,14,11.115417100023478,,,,,,,,,11.1078480000142,11.115417100023478,11.115417100023478,11.115417100023478,11.115417100023478,11.115417100023478,11.115417100023478,11.188327400013804,right,0.07174840004881844,None,11.198000299977139,11.206504300003871,11.206504300003871,11.206504300003871,11.206504300003871,11.206504300003871,11.206504300003871,11.404514399997424,,,,,,,857342,42134123412,adadasda,001,2024-12-31_14h48.19.011,glasgowFaceRecognition-Yagmur,2024.2.4,60.09467314137715,2024-12-31 14h48.31.752190 +0300,
same/139_DV_C2.jpg,left,same,0,15,15,0,right,0.16502810001838952,None,0,15,15,15,11.469827199995052,,,,,,,,,11.462829699972644,11.469827199995052,11.469827199995052,11.469827199995052,11.469827199995052,11.469827199995052,11.469827199995052,11.638172300008591,right,0.16502810001838952,None,11.648729200009257,11.65661150001688,11.65661150001688,11.65661150001688,11.65661150001688,11.65661150001688,11.65661150001688,11.854035899974406,,,,,,,857342,42134123412,adadasda,001,2024-12-31_14h48.19.011,glasgowFaceRecognition-Yagmur,2024.2.4,60.09467314137715,2024-12-31 14h48.31.752190 +0300,
same/168_C2_DV.jpg,left,same,0,16,16,0,right,0.12612269999226555,None,0,16,16,16,11.957324800023343,,,,,,,,,11.950468899973202,11.957324800023343,11.957324800023343,11.957324800023343,11.957324800023343,11.957324800023343,11.957324800023343,12.088344399991911,right,0.12612269999226555,None,12.099793199973647,12.107354299980216,12.107354299980216,12.107354299980216,12.107354299980216,12.107354299980216,12.107354299980216,12.30420040001627,,,,,,,857342,42134123412,adadasda,001,2024-12-31_14h48.19.011,glasgowFaceRecognition-Yagmur,2024.2.4,60.09467314137715,2024-12-31 14h48.31.752190 +0300,
same/170_DV_C2.jpg,left,same,0,17,17,0,right,0.08883999998215586,None,0,17,17,17,12.409066599968355,,,,,,,,,12.401954700006172,12.409066599968355,12.409066599968355,12.409066599968355,12.409066599968355,12.409066599968355,12.409066599968355,12.504821499984246,right,0.08883999998215586,None,12.515033499978017,12.523285900009796,12.523285900009796,12.523285900009796,12.523285900009796,12.523285900009796,12.523285900009796,12.720784800010733,,,,,,,857342,42134123412,adadasda,001,2024-12-31_14h48.19.011,glasgowFaceRecognition-Yagmur,2024.2.4,60.09467314137715,2024-12-31 14h48.31.752190 +0300,
same/235_C2_DV.jpg,left,same,0,18,18,0,right,0.1930549999815412,None,0,18,18,18,12.745795599999838,,,,,,,,,12.738458500010893,12.745795599999838,12.745795599999838,12.745795599999838,12.745795599999838,12.745795599999838,12.745795599999838,12.954767799994443,right,0.1930549999815412,None,12.965328499965835,12.972984899999574,12.972984899999574,12.972984899999574,12.972984899999574,12.972984899999574,12.972984899999574,13.170644900004845,,,,,,,857342,42134123412,adadasda,001,2024-12-31_14h48.19.011,glasgowFaceRecognition-Yagmur,2024.2.4,60.09467314137715,2024-12-31 14h48.31.752190 +0300,
same/303_DV_C2.jpg,left,same,0,19,19,0,right,0.1543459999957122,None,0,19,19,19,13.280847600020934,,,,,,,,,13.27311579999514,13.280847600020934,13.280847600020934,13.280847600020934,13.280847600020934,13.280847600020934,13.280847600020934,13.438140699989162,right,0.1543459999957122,None,13.448517900018487,13.456414300017059,13.456414300017059,13.456414300017059,13.456414300017059,13.456414300017059,13.456414300017059,13.653792699973565,,,,,,,857342,42134123412,adadasda,001,2024-12-31_14h48.19.011,glasgowFaceRecognition-Yagmur,2024.2.4,60.09467314137715,2024-12-31 14h48.31.752190 +0300,
